Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
create_openMatch,Chrome 69.0.3497.100,,2018-10-29 17:15:09,2018-10-29 17:16:28,1m - 18.883s,FAILED
,,,,,,
Test Cases/ucf88_tc/backoffice/login_tc,Chrome 69.0.3497.100,,2018-10-29 17:15:09,2018-10-29 17:15:35,26.183s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-29 17:15:09,2018-10-29 17:15:14,4.870s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-29 17:15:14,2018-10-29 17:15:20,5.900s,PASSED
maximizeWindow,Chrome 69.0.3497.100,,2018-10-29 17:15:20,2018-10-29 17:15:22,2.150s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-29 17:15:22,2018-10-29 17:15:26,4.281s,PASSED
setEncryptedText,Chrome 69.0.3497.100,,2018-10-29 17:15:26,2018-10-29 17:15:30,3.206s,PASSED
click,Chrome 69.0.3497.100,,2018-10-29 17:15:30,2018-10-29 17:15:34,4.469s,PASSED
verifyElementPresent,Chrome 69.0.3497.100,,2018-10-29 17:15:34,2018-10-29 17:15:35,1.057s,PASSED
,,,,,,
Test Cases/ucf88_tc/backoffice/createArena_tc,Chrome 69.0.3497.100,,2018-10-29 17:15:35,2018-10-29 17:15:48,12.732s,FAILED
mouseOver,Chrome 69.0.3497.100,,2018-10-29 17:15:35,2018-10-29 17:15:38,3.193s,PASSED
verifyElementPresent,Chrome 69.0.3497.100,,2018-10-29 17:15:38,2018-10-29 17:15:40,1.071s,PASSED
click,Chrome 69.0.3497.100,,2018-10-29 17:15:40,2018-10-29 17:15:43,3.696s,PASSED
verifyElementPresent,Chrome 69.0.3497.100,,2018-10-29 17:15:43,2018-10-29 17:15:44,1.080s,PASSED
click,Chrome 69.0.3497.100,,2018-10-29 17:15:44,2018-10-29 17:15:46,2.144s,PASSED
verifyElementPresent,Chrome 69.0.3497.100,,2018-10-29 17:15:46,2018-10-29 17:15:48,1.381s,FAILED
,,,,,,
Test Cases/ucf88_tc/backoffice/createArena_tc,Chrome 69.0.3497.100,,2018-10-29 17:15:48,2018-10-29 17:15:55,7.568s,FAILED
mouseOver,Chrome 69.0.3497.100,,2018-10-29 17:15:48,2018-10-29 17:15:51,3.075s,PASSED
verifyElementPresent,Chrome 69.0.3497.100,,2018-10-29 17:15:51,2018-10-29 17:15:52,1.033s,PASSED
click,Chrome 69.0.3497.100,,2018-10-29 17:15:52,2018-10-29 17:15:55,3.442s,FAILED
,,,,,,
Test Cases/ucf88_tc/backoffice/createArena_tc,Chrome 69.0.3497.100,,2018-10-29 17:15:55,2018-10-29 17:16:03,7.535s,FAILED
mouseOver,Chrome 69.0.3497.100,,2018-10-29 17:15:55,2018-10-29 17:15:59,3.109s,PASSED
verifyElementPresent,Chrome 69.0.3497.100,,2018-10-29 17:15:59,2018-10-29 17:16:00,1.039s,PASSED
click,Chrome 69.0.3497.100,,2018-10-29 17:16:00,2018-10-29 17:16:03,3.380s,FAILED
,,,,,,
Test Cases/ucf88_tc/backoffice/createArena_tc,Chrome 69.0.3497.100,,2018-10-29 17:16:03,2018-10-29 17:16:10,7.457s,FAILED
mouseOver,Chrome 69.0.3497.100,,2018-10-29 17:16:03,2018-10-29 17:16:06,3.028s,PASSED
verifyElementPresent,Chrome 69.0.3497.100,,2018-10-29 17:16:06,2018-10-29 17:16:07,1.014s,PASSED
click,Chrome 69.0.3497.100,,2018-10-29 17:16:07,2018-10-29 17:16:10,3.406s,FAILED
,,,,,,
Test Cases/ucf88_tc/backoffice/createArena_tc,Chrome 69.0.3497.100,,2018-10-29 17:16:10,2018-10-29 17:16:18,7.515s,FAILED
mouseOver,Chrome 69.0.3497.100,,2018-10-29 17:16:10,2018-10-29 17:16:13,3.060s,PASSED
verifyElementPresent,Chrome 69.0.3497.100,,2018-10-29 17:16:13,2018-10-29 17:16:15,1.034s,PASSED
click,Chrome 69.0.3497.100,,2018-10-29 17:16:15,2018-10-29 17:16:18,3.413s,FAILED
,,,,,,
Test Cases/ucf88_tc/backoffice/createMatch_tc,Chrome 69.0.3497.100,,2018-10-29 17:16:18,2018-10-29 17:16:26,7.661s,FAILED
mouseOver,Chrome 69.0.3497.100,,2018-10-29 17:16:18,2018-10-29 17:16:21,3.059s,PASSED
verifyElementPresent,Chrome 69.0.3497.100,,2018-10-29 17:16:21,2018-10-29 17:16:22,1.056s,PASSED
click,Chrome 69.0.3497.100,,2018-10-29 17:16:22,2018-10-29 17:16:26,3.413s,FAILED
