Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
auditTrails_ts,Chrome 70.0.3538.102,,2018-11-22 15:04:19,2018-11-22 15:04:49,30.455s,INCOMPLETE
,,,,,,
Test Cases/ucf88_tc/backoffice/createArena/createArena_tc,Chrome 70.0.3538.102,,2018-11-22 15:04:19,2018-11-22 15:04:33,14.638s,PASSED
mjpack.loginBackoffice.getLogin,Chrome 70.0.3538.102,,2018-11-22 15:04:19,2018-11-22 15:04:28,8.537s,PASSED
mouseOver,Chrome 70.0.3538.102,,2018-11-22 15:04:28,2018-11-22 15:04:28,0.073s,PASSED
verifyElementPresent,Chrome 70.0.3538.102,,2018-11-22 15:04:28,2018-11-22 15:04:28,0.020s,PASSED
click,Chrome 70.0.3538.102,,2018-11-22 15:04:28,2018-11-22 15:04:29,1.066s,PASSED
click,Chrome 70.0.3538.102,,2018-11-22 15:04:29,2018-11-22 15:04:29,0.120s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-22 15:04:29,2018-11-22 15:04:30,1.022s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-22 15:04:30,2018-11-22 15:04:30,0.174s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-22 15:04:30,2018-11-22 15:04:30,0.110s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-22 15:04:30,2018-11-22 15:04:30,0.125s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-22 15:04:30,2018-11-22 15:04:30,0.103s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-22 15:04:30,2018-11-22 15:04:31,1.001s,PASSED
click,Chrome 70.0.3538.102,,2018-11-22 15:04:31,2018-11-22 15:04:32,0.987s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-22 15:04:32,2018-11-22 15:04:33,1.003s,PASSED
,,,,,,
Test Cases/ucf88_tc/backoffice/createMatch/createMatch_tc,Chrome 70.0.3538.102,,2018-11-22 15:04:33,2018-11-22 15:04:47,13.280s,PASSED
verifyElementPresent,Chrome 70.0.3538.102,,2018-11-22 15:04:34,2018-11-22 15:04:34,0.011s,PASSED
mouseOver,Chrome 70.0.3538.102,,2018-11-22 15:04:34,2018-11-22 15:04:34,0.072s,PASSED
click,Chrome 70.0.3538.102,,2018-11-22 15:04:34,2018-11-22 15:04:35,0.844s,PASSED
click,Chrome 70.0.3538.102,,2018-11-22 15:04:35,2018-11-22 15:04:35,0.114s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-22 15:04:35,2018-11-22 15:04:36,1.002s,PASSED
verifyElementPresent,Chrome 70.0.3538.102,,2018-11-22 15:04:36,2018-11-22 15:04:36,0.049s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-22 15:04:36,2018-11-22 15:04:37,1.001s,PASSED
click,Chrome 70.0.3538.102,,2018-11-22 15:04:37,2018-11-22 15:04:37,0.138s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-22 15:04:37,2018-11-22 15:04:38,1.003s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-22 15:04:38,2018-11-22 15:04:38,0.326s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-22 15:04:38,2018-11-22 15:04:39,1.002s,PASSED
sendKeys,Chrome 70.0.3538.102,,2018-11-22 15:04:39,2018-11-22 15:04:39,0.094s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-22 15:04:39,2018-11-22 15:04:40,0.142s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-22 15:04:40,2018-11-22 15:04:40,0.135s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-22 15:04:40,2018-11-22 15:04:40,0.122s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-22 15:04:40,2018-11-22 15:04:40,0.130s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-22 15:04:40,2018-11-22 15:04:40,0.146s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-22 15:04:40,2018-11-22 15:04:40,0.153s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-22 15:04:40,2018-11-22 15:04:40,0.128s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-22 15:04:40,2018-11-22 15:04:40,0.100s,PASSED
click,Chrome 70.0.3538.102,,2018-11-22 15:04:40,2018-11-22 15:04:42,1.214s,PASSED
click,Chrome 70.0.3538.102,,2018-11-22 15:04:42,2018-11-22 15:04:42,0.160s,PASSED
switchToWindowIndex,Chrome 70.0.3538.102,,2018-11-22 15:04:42,2018-11-22 15:04:42,0.050s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-22 15:04:42,2018-11-22 15:04:43,1.002s,PASSED
click,Chrome 70.0.3538.102,,2018-11-22 15:04:43,2018-11-22 15:04:44,1.100s,PASSED
waitForElementVisible,Chrome 70.0.3538.102,,2018-11-22 15:04:44,2018-11-22 15:04:45,0.595s,PASSED
click,Chrome 70.0.3538.102,,2018-11-22 15:04:45,2018-11-22 15:04:45,0.069s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-22 15:04:45,2018-11-22 15:04:47,2.003s,PASSED
closeWindowIndex,Chrome 70.0.3538.102,,2018-11-22 15:04:47,2018-11-22 15:04:47,0.073s,PASSED
switchToWindowIndex,Chrome 70.0.3538.102,,2018-11-22 15:04:47,2018-11-22 15:04:47,0.017s,PASSED
,,,,,,
Test Cases/ucf88_tc/backoffice/auditTrail/auditTrail,Chrome 70.0.3538.102,,2018-11-22 15:04:47,2018-11-22 15:04:49,2.245s,INCOMPLETE
mouseOver,Chrome 70.0.3538.102,,2018-11-22 15:04:47,2018-11-22 15:04:47,0.045s,PASSED
verifyElementPresent,Chrome 70.0.3538.102,,2018-11-22 15:04:47,2018-11-22 15:04:47,0.021s,PASSED
click,Chrome 70.0.3538.102,,2018-11-22 15:04:47,2018-11-22 15:04:48,0.731s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-22 15:04:48,2018-11-22 15:04:49,1.003s,PASSED
Statement - driver = com.kms.katalon.core.webui.driver.DriverFactory.getWebDriver(),Chrome 70.0.3538.102,,2018-11-22 15:04:49,2018-11-22 15:04:49,0.013s,PASSED
"Statement - ExpectedValue = ""janine""",Chrome 70.0.3538.102,,2018-11-22 15:04:49,2018-11-22 15:04:49,0.001s,PASSED
"Statement - Table = driver.findElement(org.openqa.selenium.By.xpath(""//table/tbody""))",Chrome 70.0.3538.102,,2018-11-22 15:04:49,2018-11-22 15:04:49,0.040s,PASSED
"Statement - rows_table = Table.findElements(org.openqa.selenium.By.tagName(""tr""))",Chrome 70.0.3538.102,,2018-11-22 15:04:49,2018-11-22 15:04:49,0.028s,PASSED
Statement - rows_count = rows_table.size(),Chrome 70.0.3538.102,,2018-11-22 15:04:49,2018-11-22 15:04:49,0.000s,PASSED
Statement - println(rows_count),Chrome 70.0.3538.102,,2018-11-22 15:04:49,2018-11-22 15:04:49,0.000s,PASSED
"Statement - For ([row = 0, row < rows_count, (row++)])",Chrome 70.0.3538.102,,2018-11-22 15:04:49,2018-11-22 15:04:49,0.114s,INCOMPLETE
