Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
createArena_ts,Chrome 70.0.3538.77,,2018-11-08 11:00:42,2018-11-08 11:00:56,14.108s,PASSED
,,,,,,
Test Cases/ucf88_tc/backoffice/createArena/createArena_tc,Chrome 70.0.3538.77,,2018-11-08 11:00:42,2018-11-08 11:00:55,12.982s,PASSED
errpack.loginBackoffice.getLogin,Chrome 70.0.3538.77,,2018-11-08 11:00:42,2018-11-08 11:00:50,7.327s,PASSED
mouseOver,Chrome 70.0.3538.77,,2018-11-08 11:00:50,2018-11-08 11:00:50,0.118s,PASSED
verifyElementPresent,Chrome 70.0.3538.77,,2018-11-08 11:00:50,2018-11-08 11:00:50,0.051s,PASSED
click,Chrome 70.0.3538.77,,2018-11-08 11:00:50,2018-11-08 11:00:51,0.756s,PASSED
click,Chrome 70.0.3538.77,,2018-11-08 11:00:51,2018-11-08 11:00:51,0.111s,PASSED
delay,Chrome 70.0.3538.77,,2018-11-08 11:00:51,2018-11-08 11:00:52,1.020s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-08 11:00:52,2018-11-08 11:00:52,0.245s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-08 11:00:52,2018-11-08 11:00:52,0.115s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-08 11:00:52,2018-11-08 11:00:52,0.117s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-08 11:00:52,2018-11-08 11:00:52,0.105s,PASSED
delay,Chrome 70.0.3538.77,,2018-11-08 11:00:52,2018-11-08 11:00:53,1.002s,PASSED
click,Chrome 70.0.3538.77,,2018-11-08 11:00:53,2018-11-08 11:00:54,0.708s,PASSED
delay,Chrome 70.0.3538.77,,2018-11-08 11:00:54,2018-11-08 11:00:55,1.003s,PASSED
