Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
create_openArena_ts,Chrome 69.0.3497.100,,2018-10-29 18:14:44,2018-10-29 18:15:48,1m - 3.433s,FAILED
,,,,,,
Test Cases/ucf88_tc/backoffice/createArena_withLogin_tc,Chrome 69.0.3497.100,,2018-10-29 18:14:45,2018-10-29 18:15:46,1m - 1.453s,FAILED
openBrowser,Chrome 69.0.3497.100,,2018-10-29 18:14:45,2018-10-29 18:14:50,4.803s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-29 18:14:50,2018-10-29 18:14:52,1.977s,PASSED
maximizeWindow,Chrome 69.0.3497.100,,2018-10-29 18:14:52,2018-10-29 18:14:54,2.139s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-29 18:14:54,2018-10-29 18:14:58,4.202s,PASSED
setEncryptedText,Chrome 69.0.3497.100,,2018-10-29 18:14:58,2018-10-29 18:15:01,3.183s,PASSED
click,Chrome 69.0.3497.100,,2018-10-29 18:15:01,2018-10-29 18:15:06,4.279s,PASSED
mouseOver,Chrome 69.0.3497.100,,2018-10-29 18:15:06,2018-10-29 18:15:09,3.115s,PASSED
verifyElementPresent,Chrome 69.0.3497.100,,2018-10-29 18:15:09,2018-10-29 18:15:10,1.065s,PASSED
click,Chrome 69.0.3497.100,,2018-10-29 18:15:10,2018-10-29 18:15:13,2.895s,PASSED
verifyElementPresent,Chrome 69.0.3497.100,,2018-10-29 18:15:13,2018-10-29 18:15:46,33.445s,FAILED
