Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
create_openMatch,Chrome 69.0.3497.100,,2018-10-30 10:53:48,2018-10-30 10:54:43,54.996s,FAILED
,,,,,,
Test Cases/ucf88_tc/backoffice/createMatch_withLogin_tc,Chrome 69.0.3497.100,,2018-10-30 10:53:48,2018-10-30 10:54:41,52.886s,FAILED
openBrowser,Chrome 69.0.3497.100,,2018-10-30 10:53:49,2018-10-30 10:53:53,4.803s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-30 10:53:53,2018-10-30 10:53:55,2.018s,PASSED
maximizeWindow,Chrome 69.0.3497.100,,2018-10-30 10:53:55,2018-10-30 10:53:58,2.126s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-30 10:53:58,2018-10-30 10:54:02,4.234s,PASSED
setEncryptedText,Chrome 69.0.3497.100,,2018-10-30 10:54:02,2018-10-30 10:54:05,3.144s,PASSED
click,Chrome 69.0.3497.100,,2018-10-30 10:54:05,2018-10-30 10:54:09,3.994s,PASSED
verifyElementPresent,Chrome 69.0.3497.100,,2018-10-30 10:54:09,2018-10-30 10:54:10,1.055s,PASSED
mouseOver,Chrome 69.0.3497.100,,2018-10-30 10:54:10,2018-10-30 10:54:13,3.110s,PASSED
click,Chrome 69.0.3497.100,,2018-10-30 10:54:13,2018-10-30 10:54:16,2.866s,PASSED
click,Chrome 69.0.3497.100,,2018-10-30 10:54:16,2018-10-30 10:54:18,2.145s,PASSED
verifyElementPresent,Chrome 69.0.3497.100,,2018-10-30 10:54:18,2018-10-30 10:54:19,1.052s,PASSED
selectOptionByLabel,Chrome 69.0.3497.100,,2018-10-30 10:54:19,2018-10-30 10:54:25,6.273s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-30 10:54:25,2018-10-30 10:54:30,4.254s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-30 10:54:30,2018-10-30 10:54:34,4.236s,PASSED
click,Chrome 69.0.3497.100,,2018-10-30 10:54:34,2018-10-30 10:54:37,3.071s,PASSED
waitForElementVisible,Chrome 69.0.3497.100,,2018-10-30 10:54:37,2018-10-30 10:54:39,2.129s,PASSED
click,Chrome 69.0.3497.100,,2018-10-30 10:54:39,2018-10-30 10:54:41,2.092s,FAILED
