Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
oddsHistory_auto_ts,Chrome 70.0.3538.102,,2018-11-22 16:17:59,2018-11-22 16:18:53,54.463s,FAILED
,,,,,,
Test Cases/ucf88_tc/backoffice/createArena/createArena_tc,Chrome 70.0.3538.102,,2018-11-22 16:17:59,2018-11-22 16:18:13,13.655s,PASSED
mjpack.loginBackoffice.getLogin,Chrome 70.0.3538.102,,2018-11-22 16:17:59,2018-11-22 16:18:08,8.137s,PASSED
mouseOver,Chrome 70.0.3538.102,,2018-11-22 16:18:08,2018-11-22 16:18:08,0.085s,PASSED
verifyElementPresent,Chrome 70.0.3538.102,,2018-11-22 16:18:08,2018-11-22 16:18:08,0.025s,PASSED
click,Chrome 70.0.3538.102,,2018-11-22 16:18:08,2018-11-22 16:18:09,0.830s,PASSED
click,Chrome 70.0.3538.102,,2018-11-22 16:18:09,2018-11-22 16:18:09,0.089s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-22 16:18:09,2018-11-22 16:18:10,1.021s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-22 16:18:10,2018-11-22 16:18:10,0.191s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-22 16:18:10,2018-11-22 16:18:10,0.102s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-22 16:18:10,2018-11-22 16:18:10,0.113s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-22 16:18:10,2018-11-22 16:18:10,0.096s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-22 16:18:10,2018-11-22 16:18:11,1.001s,PASSED
click,Chrome 70.0.3538.102,,2018-11-22 16:18:11,2018-11-22 16:18:12,0.700s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-22 16:18:12,2018-11-22 16:18:13,1.001s,PASSED
,,,,,,
Test Cases/ucf88_tc/backoffice/createMatch/createMatch_tc,Chrome 70.0.3538.102,,2018-11-22 16:18:13,2018-11-22 16:18:25,11.808s,PASSED
verifyElementPresent,Chrome 70.0.3538.102,,2018-11-22 16:18:13,2018-11-22 16:18:13,0.021s,PASSED
mouseOver,Chrome 70.0.3538.102,,2018-11-22 16:18:13,2018-11-22 16:18:13,0.037s,PASSED
click,Chrome 70.0.3538.102,,2018-11-22 16:18:13,2018-11-22 16:18:14,0.778s,PASSED
verifyElementPresent,Chrome 70.0.3538.102,,2018-11-22 16:18:14,2018-11-22 16:18:14,0.030s,PASSED
click,Chrome 70.0.3538.102,,2018-11-22 16:18:14,2018-11-22 16:18:14,0.084s,PASSED
verifyElementPresent,Chrome 70.0.3538.102,,2018-11-22 16:18:14,2018-11-22 16:18:14,0.029s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-22 16:18:14,2018-11-22 16:18:15,1.002s,PASSED
click,Chrome 70.0.3538.102,,2018-11-22 16:18:15,2018-11-22 16:18:15,0.113s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-22 16:18:15,2018-11-22 16:18:16,1.001s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-22 16:18:16,2018-11-22 16:18:16,0.281s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-22 16:18:16,2018-11-22 16:18:17,1.002s,PASSED
sendKeys,Chrome 70.0.3538.102,,2018-11-22 16:18:17,2018-11-22 16:18:18,0.083s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-22 16:18:18,2018-11-22 16:18:18,0.113s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-22 16:18:18,2018-11-22 16:18:18,0.111s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-22 16:18:18,2018-11-22 16:18:18,0.112s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-22 16:18:18,2018-11-22 16:18:18,0.114s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-22 16:18:18,2018-11-22 16:18:18,0.142s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-22 16:18:18,2018-11-22 16:18:18,0.121s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-22 16:18:18,2018-11-22 16:18:18,0.097s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-22 16:18:18,2018-11-22 16:18:18,0.100s,PASSED
click,Chrome 70.0.3538.102,,2018-11-22 16:18:18,2018-11-22 16:18:20,1.103s,PASSED
click,Chrome 70.0.3538.102,,2018-11-22 16:18:20,2018-11-22 16:18:20,0.160s,PASSED
switchToWindowIndex,Chrome 70.0.3538.102,,2018-11-22 16:18:20,2018-11-22 16:18:20,0.033s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-22 16:18:20,2018-11-22 16:18:21,1.003s,PASSED
click,Chrome 70.0.3538.102,,2018-11-22 16:18:21,2018-11-22 16:18:22,1.130s,PASSED
waitForElementVisible,Chrome 70.0.3538.102,,2018-11-22 16:18:22,2018-11-22 16:18:23,0.595s,PASSED
click,Chrome 70.0.3538.102,,2018-11-22 16:18:23,2018-11-22 16:18:23,0.080s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-22 16:18:23,2018-11-22 16:18:25,2.002s,PASSED
closeWindowIndex,Chrome 70.0.3538.102,,2018-11-22 16:18:25,2018-11-22 16:18:25,0.057s,PASSED
switchToWindowIndex,Chrome 70.0.3538.102,,2018-11-22 16:18:25,2018-11-22 16:18:25,0.015s,PASSED
,,,,,,
Test Cases/ucf88_tc/frontend/betting/betting,Chrome 70.0.3538.102,,2018-11-22 16:18:25,2018-11-22 16:18:44,19.210s,FAILED
mjpack.loginFrontend.getLogin,Chrome 70.0.3538.102,,2018-11-22 16:18:25,2018-11-22 16:18:44,19.038s,FAILED
,,,,,,
Test Cases/ucf88_tc/backoffice/odds history/oddsHistory_auto_tc,Chrome 70.0.3538.102,,2018-11-22 16:18:44,2018-11-22 16:18:53,8.750s,FAILED
mjpack.loginBackoffice.getLogin,Chrome 70.0.3538.102,,2018-11-22 16:18:44,2018-11-22 16:18:52,7.496s,PASSED
mouseOver,Chrome 70.0.3538.102,,2018-11-22 16:18:52,2018-11-22 16:18:52,0.055s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-22 16:18:52,2018-11-22 16:18:53,1.001s,PASSED
click,Chrome 70.0.3538.102,,2018-11-22 16:18:53,2018-11-22 16:18:53,0.012s,FAILED
