Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
oddsHistory_manual_ts,Chrome 70.0.3538.102,,2018-11-22 14:59:55,2018-11-22 15:00:51,56.085s,PASSED
,,,,,,
Test Cases/ucf88_tc/backoffice/createArena/createArena_tc,Chrome 70.0.3538.102,,2018-11-22 14:59:55,2018-11-22 15:00:09,14.196s,PASSED
mjpack.loginBackoffice.getLogin,Chrome 70.0.3538.102,,2018-11-22 14:59:55,2018-11-22 15:00:04,8.267s,PASSED
mouseOver,Chrome 70.0.3538.102,,2018-11-22 15:00:04,2018-11-22 15:00:04,0.072s,PASSED
verifyElementPresent,Chrome 70.0.3538.102,,2018-11-22 15:00:04,2018-11-22 15:00:04,0.054s,PASSED
click,Chrome 70.0.3538.102,,2018-11-22 15:00:04,2018-11-22 15:00:05,0.888s,PASSED
click,Chrome 70.0.3538.102,,2018-11-22 15:00:05,2018-11-22 15:00:05,0.123s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-22 15:00:05,2018-11-22 15:00:06,1.017s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-22 15:00:06,2018-11-22 15:00:06,0.188s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-22 15:00:06,2018-11-22 15:00:06,0.094s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-22 15:00:06,2018-11-22 15:00:06,0.114s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-22 15:00:06,2018-11-22 15:00:06,0.093s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-22 15:00:06,2018-11-22 15:00:07,1.002s,PASSED
click,Chrome 70.0.3538.102,,2018-11-22 15:00:07,2018-11-22 15:00:08,0.954s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-22 15:00:08,2018-11-22 15:00:09,1.002s,PASSED
,,,,,,
Test Cases/ucf88_tc/backoffice/createMatch/createMatch_withOddsChange_tc,Chrome 70.0.3538.102,,2018-11-22 15:00:09,2018-11-22 15:00:37,27.403s,PASSED
verifyElementPresent,Chrome 70.0.3538.102,,2018-11-22 15:00:10,2018-11-22 15:00:10,0.027s,PASSED
mouseOver,Chrome 70.0.3538.102,,2018-11-22 15:00:10,2018-11-22 15:00:10,0.058s,PASSED
click,Chrome 70.0.3538.102,,2018-11-22 15:00:10,2018-11-22 15:00:11,0.836s,PASSED
click,Chrome 70.0.3538.102,,2018-11-22 15:00:11,2018-11-22 15:00:11,0.128s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-22 15:00:11,2018-11-22 15:00:12,1.002s,PASSED
verifyElementPresent,Chrome 70.0.3538.102,,2018-11-22 15:00:12,2018-11-22 15:00:12,0.039s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-22 15:00:12,2018-11-22 15:00:13,1.002s,PASSED
click,Chrome 70.0.3538.102,,2018-11-22 15:00:13,2018-11-22 15:00:13,0.134s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-22 15:00:13,2018-11-22 15:00:14,1.003s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-22 15:00:14,2018-11-22 15:00:14,0.304s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-22 15:00:14,2018-11-22 15:00:15,1.002s,PASSED
sendKeys,Chrome 70.0.3538.102,,2018-11-22 15:00:15,2018-11-22 15:00:15,0.093s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-22 15:00:15,2018-11-22 15:00:16,1.003s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-22 15:00:16,2018-11-22 15:00:16,0.164s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-22 15:00:16,2018-11-22 15:00:17,1.002s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-22 15:00:17,2018-11-22 15:00:18,0.145s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-22 15:00:18,2018-11-22 15:00:19,1.002s,PASSED
