Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
oddsHistory_manual_ts,Chrome 70.0.3538.102,,2018-11-13 10:05:35,2018-11-13 10:06:42,1m - 7.152s,FAILED
,,,,,,
Test Cases/ucf88_tc/backoffice/createArena/createArena_tc,Chrome 70.0.3538.102,,2018-11-13 10:05:35,2018-11-13 10:05:48,13.308s,PASSED
mjpack.loginBackoffice.getLogin,Chrome 70.0.3538.102,,2018-11-13 10:05:35,2018-11-13 10:05:43,7.371s,PASSED
mouseOver,Chrome 70.0.3538.102,,2018-11-13 10:05:43,2018-11-13 10:05:43,0.083s,PASSED
verifyElementPresent,Chrome 70.0.3538.102,,2018-11-13 10:05:43,2018-11-13 10:05:43,0.124s,PASSED
click,Chrome 70.0.3538.102,,2018-11-13 10:05:43,2018-11-13 10:05:44,0.987s,PASSED
click,Chrome 70.0.3538.102,,2018-11-13 10:05:44,2018-11-13 10:05:44,0.090s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-13 10:05:44,2018-11-13 10:05:45,1.019s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-13 10:05:45,2018-11-13 10:05:45,0.161s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-13 10:05:45,2018-11-13 10:05:45,0.100s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-13 10:05:45,2018-11-13 10:05:45,0.101s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-13 10:05:45,2018-11-13 10:05:45,0.096s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-13 10:05:45,2018-11-13 10:05:46,1.001s,PASSED
click,Chrome 70.0.3538.102,,2018-11-13 10:05:46,2018-11-13 10:05:47,0.817s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-13 10:05:47,2018-11-13 10:05:48,1.002s,PASSED
,,,,,,
Test Cases/ucf88_tc/backoffice/createMatch/createMatch_tc,Chrome 70.0.3538.102,,2018-11-13 10:05:48,2018-11-13 10:06:15,26.886s,PASSED
verifyElementPresent,Chrome 70.0.3538.102,,2018-11-13 10:05:48,2018-11-13 10:05:48,0.026s,PASSED
mouseOver,Chrome 70.0.3538.102,,2018-11-13 10:05:48,2018-11-13 10:05:49,0.047s,PASSED
click,Chrome 70.0.3538.102,,2018-11-13 10:05:49,2018-11-13 10:05:49,0.755s,PASSED
click,Chrome 70.0.3538.102,,2018-11-13 10:05:49,2018-11-13 10:05:50,0.224s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-13 10:05:50,2018-11-13 10:05:51,1.003s,PASSED
verifyElementPresent,Chrome 70.0.3538.102,,2018-11-13 10:05:51,2018-11-13 10:05:51,0.051s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-13 10:05:51,2018-11-13 10:05:52,1.002s,PASSED
click,Chrome 70.0.3538.102,,2018-11-13 10:05:52,2018-11-13 10:05:52,0.123s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-13 10:05:52,2018-11-13 10:05:53,1.002s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-13 10:05:53,2018-11-13 10:05:53,0.265s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-13 10:05:53,2018-11-13 10:05:54,1.002s,PASSED
sendKeys,Chrome 70.0.3538.102,,2018-11-13 10:05:54,2018-11-13 10:05:54,0.083s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-13 10:05:54,2018-11-13 10:05:55,1.003s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-13 10:05:55,2018-11-13 10:05:55,0.138s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-13 10:05:55,2018-11-13 10:05:56,1.003s,PASSED
