Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
oddsHistory_manual_withoutMatch_ts,Chrome 70.0.3538.77,,2018-11-08 16:16:10,2018-11-08 16:16:32,21.885s,FAILED
,,,,,,
Test Cases/ucf88_tc/backoffice/odds history/oddsHistory_manual_tc,Chrome 70.0.3538.77,,2018-11-08 16:16:10,2018-11-08 16:16:31,20.583s,FAILED
errpack.loginBackoffice.getLogin,Chrome 70.0.3538.77,,2018-11-08 16:16:11,2018-11-08 16:16:20,8.981s,PASSED
mouseOver,Chrome 70.0.3538.77,,2018-11-08 16:16:20,2018-11-08 16:16:20,0.177s,PASSED
delay,Chrome 70.0.3538.77,,2018-11-08 16:16:20,2018-11-08 16:16:21,1.022s,PASSED
click,Chrome 70.0.3538.77,,2018-11-08 16:16:21,2018-11-08 16:16:22,0.825s,PASSED
delay,Chrome 70.0.3538.77,,2018-11-08 16:16:22,2018-11-08 16:16:23,1.005s,PASSED
click,Chrome 70.0.3538.77,,2018-11-08 16:16:23,2018-11-08 16:16:23,0.157s,PASSED
delay,Chrome 70.0.3538.77,,2018-11-08 16:16:23,2018-11-08 16:16:24,1.003s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-08 16:16:24,2018-11-08 16:16:24,0.312s,PASSED
delay,Chrome 70.0.3538.77,,2018-11-08 16:16:24,2018-11-08 16:16:25,1.002s,PASSED
sendKeys,Chrome 70.0.3538.77,,2018-11-08 16:16:25,2018-11-08 16:16:26,0.071s,PASSED
delay,Chrome 70.0.3538.77,,2018-11-08 16:16:26,2018-11-08 16:16:27,1.002s,PASSED
click,Chrome 70.0.3538.77,,2018-11-08 16:16:27,2018-11-08 16:16:27,0.145s,PASSED
delay,Chrome 70.0.3538.77,,2018-11-08 16:16:27,2018-11-08 16:16:28,1.004s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-08 16:16:28,2018-11-08 16:16:28,0.177s,PASSED
delay,Chrome 70.0.3538.77,,2018-11-08 16:16:28,2018-11-08 16:16:29,1.002s,PASSED
sendKeys,Chrome 70.0.3538.77,,2018-11-08 16:16:29,2018-11-08 16:16:29,0.071s,PASSED
delay,Chrome 70.0.3538.77,,2018-11-08 16:16:29,2018-11-08 16:16:30,1.004s,PASSED
click,Chrome 70.0.3538.77,,2018-11-08 16:16:30,2018-11-08 16:16:30,0.093s,PASSED
delay,Chrome 70.0.3538.77,,2018-11-08 16:16:30,2018-11-08 16:16:31,1.002s,PASSED
verifyTextPresent,Chrome 70.0.3538.77,,2018-11-08 16:16:31,2018-11-08 16:16:31,0.041s,FAILED
