Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
oddsType_ts,Chrome 70.0.3538.102,,2018-11-20 12:36:38,2018-11-20 12:36:52,14.618s,FAILED
,,,,,,
Test Cases/ucf88_tc/frontend/oddsType/oddsType,Chrome 70.0.3538.102,,2018-11-20 12:36:38,2018-11-20 12:36:52,13.508s,FAILED
mjpack.loginFrontend.getLogin,Chrome 70.0.3538.102,,2018-11-20 12:36:38,2018-11-20 12:36:47,8.400s,PASSED
"Statement - arenaPresent = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.verifyElementPresent(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(ucf88_or/frontend/betting/button_arena), 2)",Chrome 70.0.3538.102,,2018-11-20 12:36:47,2018-11-20 12:36:50,3.410s,PASSED
"Statement - matchPresent = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.verifyElementPresent(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(ucf88_or/frontend/oddsType/iframe_verifyOpenMatch), 2, OPTIONAL)",Chrome 70.0.3538.102,,2018-11-20 12:36:50,2018-11-20 12:36:50,0.045s,PASSED
Statement - If (arenaPresent && matchPresent),Chrome 70.0.3538.102,,2018-11-20 12:36:50,2018-11-20 12:36:50,0.108s,PASSED
selectOptionByLabel,Chrome 70.0.3538.102,,2018-11-20 12:36:50,2018-11-20 12:36:50,0.116s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-20 12:36:50,2018-11-20 12:36:51,1.002s,PASSED
verifyElementAttributeValue,Chrome 70.0.3538.102,,2018-11-20 12:36:51,2018-11-20 12:36:52,0.094s,FAILED
